CookerStat, GenerateAssetRegistry=0.052355, Initialize=0.260230, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_3F9B72324DFBBE13839725A441BDC507, StartTime=2016.05.12-17.34.00, HierarchicalDDC=, DataSize=170213, Duration=47.505009, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___5D2B945371DBA8E4896850A1CCC1492E17F827FC, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=1048837, Duration=66.838234, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___83B4F34F82BD0A5C87F0274D0D3AEB7F801D3586, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=262403, Duration=32.808960, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___032BA9E9680926E1240519B7358688A284FF769A, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=65795, Duration=36.584217, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___D1D9DB911396144291326FEB5D29A7631DE96437, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=16643, Duration=53.114189, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___2823E4E2C7F06C3750B5247F5CEB72AF6D72894E, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=7761, Duration=1.302302, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A9369C8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.34.48, Duration=4695.718262, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__C1C61C9DEE1B5A0DB51B5EFED5435F04467D0243, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=8388873, Duration=25.768515, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__C157EC4A26E2F5CD08ABAB195FD00C5BF0C1E1E3, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=2097417, Duration=6.564643, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__7A6A943F8D3445FF51B1257081610FD465AB4B05, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=524553, Duration=12.361296, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__ED32EA264030E5984BBC0F4F6A3B8F461CA45B3F, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=131335, Duration=43.297836, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__B9B536F0A568272E53DC221FE9F5EF16517AF636, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=33031, Duration=1.691878, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__4C25AFA323E120E37523F349BF2F2AD12C2F39E6, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=8455, Duration=22.015203, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6AE3371A4072CA2C43EA44A70A936__A3C721E0EF479B06AF90FDFCF606ED5455964D36, StartTime=2016.05.12-17.34.53, HierarchicalDDC=, DataSize=5046, Duration=51.449646, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F54E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.34.56, Duration=4859.460938, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__9A8D2EA803BECE949868411034A0ECC61A3622F8, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=8388873, Duration=71.822632, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__4722A95350967EDC64EBD7A48E93AF0142A5ED2B, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=2097417, Duration=31.171362, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__DA4BDF9F291078B115D29B0F0E1571761BED4FD6, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=524553, Duration=109.142876, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__0891994ADA3BB37D54B8953C0F7B031EA9902094, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=131335, Duration=21.698769, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__CE129C44838086FE38DBFA6C8F33E3E7B562F464, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=33031, Duration=41.321476, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__110AC43FAA4F4E07B7C919938F460623351173DD, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=8455, Duration=102.278740, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__49AFD506D07A7BFEC61CCDFFDA47DF4FD81250B7, StartTime=2016.05.12-17.35.00, HierarchicalDDC=, DataSize=5046, Duration=11.490144, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.35.03, Duration=1986.742554, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___4AF1AB0FA9AE41EC4D942264480CB0D796A328D4, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=16777477, Duration=67.188919, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___2F37F4EAE7F8879F9F5EC562549E8085452692C1, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=4194565, Duration=46.012154, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___191588A097ADD337CF8B9F9CB9377130B5181836, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=1048837, Duration=34.303356, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___FB09E7382CA3F878C203ABE66690B29DDD9B45D3, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=262403, Duration=1.816988, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___FD02003D80FF3645BC25AD6F90D8D7A06280CB21, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=65795, Duration=28.398142, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___69E3B83CE64BDDFF5389295BA58848ED3B44021C, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=16643, Duration=12.366686, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0C6733394D274F44CCAC24A9E017BEE5___0599E8A4C053FC1649DFECCB42077E623A175F86, StartTime=2016.05.12-17.35.05, HierarchicalDDC=, DataSize=7761, Duration=15.874397, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC9DD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.35.07, Duration=5046.014160, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__BD866A40F7BACD9A85C8E31CC4C0BD9E10DB5F57, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=8388873, Duration=40.430687, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__9163BC7B22351D069760B3951A873636CCCEB8AB, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=2097417, Duration=70.945702, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__BBF36F01D08BB308BD3DCB6564CC0C8E8D3E04B2, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=524553, Duration=57.000702, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__1B3B0E5E644519C29692790C056C6927EDA087F2, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=131335, Duration=32.595310, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__2F01D977AA5FE1097F754D0EC35CFD0800E12735, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=33031, Duration=1.178734, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__0E88C1AE49757A27927D6011A542C077FA9A54D8, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=5046, Duration=19.420605, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C0A7959E4C99CFBDB1DC5F9222EFC__61614DCD9F82331AE19253069FE3C95DDB7D42D0, StartTime=2016.05.12-17.35.12, HierarchicalDDC=, DataSize=8455, Duration=50.274376, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F54E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.35.31, Duration=3520.283447, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__EF315466E619CE1246198E382AEB6F5052ECB027, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=8388873, Duration=44.811092, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__7C333B005D85DC34A092294AD1609AA32319CA06, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=2097417, Duration=18.361595, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__BFE0BAA90482B7798E9E21B2F315BDF4656223CB, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=524553, Duration=61.230202, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__838D09A988AC9560FD692BCE5805BB806EEC21E0, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=131335, Duration=43.717434, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__161DD39D73B00C59EE9CA771207B5824BCEFA5BA, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=33031, Duration=82.626785, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__B9F6C26E3B764BBF20D72748385B886CF3F721EA, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=8455, Duration=77.784424, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2C52316F4E5B226BA93D2BA66BA8F__180A3B267334DA64723801599742DE61BCB8B6AC, StartTime=2016.05.12-17.35.34, HierarchicalDDC=, DataSize=5046, Duration=1.410861, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
